"FTE Staffing Report for Trend"

"",,,"Year",,,,
="Westport School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",38.6,36.8,36.3,37.3,34.6
,="Counselors  Social Workers  and School Psychologists",="Certified",37.8,36.8,35.8,37.8,34.6
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",52.2,48.0,51.9,51.9,61.4
,="General Education - Teachers and Instructors",="Certified",440.1,432.6,435.7,443.4,428.7
,="Library/Media - Support Staff",="Non-Certified",7.5,7.5,7.0,7.0,9.5
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",311.4,309.2,306.9,199.1,495.1
,="School Nurses",="Non-Certified",11.3,12.0,12.0,12.0,12.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",87.4,80.9,85.5,83.0,86.0
,="Special Education - Teachers and Instructors",="Certified",56.7,52.2,52.5,52.5,46.0
,="Instructional Specialists Who Support Teachers",="Certified",12.8,13.2,12.8,12.8,12.6
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",5.8,5.8,8.0,7.9,9.4
,="Library/Media - Specialists (Certified)",="Certified",11.0,11.0,12.0,12.0,11.0
="Wethersfield School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",11.0,10.0,11.0,11.5,11.0
,="Counselors  Social Workers  and School Psychologists",="Certified",19.3,18.6,18.0,18.6,21.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",26.0,17.4,17.2,22.2,14.5
,="General Education - Teachers and Instructors",="Certified",230.5,215.1,227.9,226.7,236.0
,="Library/Media - Support Staff",="Non-Certified",7.0,7.0,7.0,7.0,4.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",194.4,186.4,183.7,189.8,120.8
,="School Nurses",="Non-Certified",9.0,9.0,9.0,9.0,6.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",71.9,77.3,76.5,88.8,47.0
,="Special Education - Teachers and Instructors",="Certified",24.8,25.7,25.1,26.6,27.0
,="Instructional Specialists Who Support Teachers",="Certified",21.2,19.4,14.5,17.5,12.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",6.0,9.0,8.0,8.0,7.0
,="Library/Media - Specialists (Certified)",="Certified",2.0,2.0,2.0,2.0,2.0
="Willington School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,2.0,2.0,2.0,2.0
,="Counselors  Social Workers  and School Psychologists",="Certified",2.0,2.0,2.0,2.0,2.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",6.0,3.0,1.0,1.0,1.0
,="General Education - Teachers and Instructors",="Certified",41.6,41.6,41.6,39.6,38.6
,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",34.0,34.4,30.6,30.1,28.6
,="School Nurses",="Non-Certified",2.0,2.0,2.0,2.0,2.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",15.0,16.0,5.0,5.0,5.0
,="Special Education - Teachers and Instructors",="Certified",6.0,6.0,6.0,6.0,5.0
,="Instructional Specialists Who Support Teachers",="Certified",2.0,2.0,2.0,2.0,3.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",2.0,2.0,2.0,2.0,2.0
,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Wilton School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",15.0,15.0,15.0,15.0,17.0
,="Counselors  Social Workers  and School Psychologists",="Certified",25.3,25.1,26.0,27.4,27.8
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",15.9,16.9,30.8,18.4,17.4
,="General Education - Teachers and Instructors",="Certified",278.7,269.1,264.1,262.2,274.7
,="Library/Media - Support Staff",="Non-Certified",8.1,8.6,9.6,11.1,10.6
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",179.9,181.5,186.7,178.6,185.7
,="School Nurses",="Non-Certified",7.5,7.5,7.5,8.0,8.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",79.9,79.9,74.2,72.8,75.8
,="Special Education - Teachers and Instructors",="Certified",31.9,31.9,32.8,35.4,36.0
,="Instructional Specialists Who Support Teachers",="Certified",14.2,15.2,14.7,15.1,14.4
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",5.0,5.0,6.0,5.0,6.0
,="Library/Media - Specialists (Certified)",="Certified",6.8,6.6,6.6,5.1,4.8
="Winchester School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.2,2.0,2.0,4.0,3.0
,="Counselors  Social Workers  and School Psychologists",="Certified",6.0,5.0,5.0,5.0,4.5
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",11.0,11.0,3.0,5.0,5.0
,="General Education - Teachers and Instructors",="Certified",58.0,37.6,39.6,36.0,38.0
,="Library/Media - Support Staff",="Non-Certified",3.0,2.5,1.0,0.0,0.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",33.0,28.0,33.0,31.0,34.5
,="School Nurses",="Non-Certified",3.0,3.0,4.0,3.0,3.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",34.0,31.0,38.0,29.0,28.0
,="Special Education - Teachers and Instructors",="Certified",15.0,17.0,17.0,17.0,17.0
,="Instructional Specialists Who Support Teachers",="Certified",1.0,1.0,1.0,3.0,4.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",2.3,2.5,2.0,1.0,1.0
,="Library/Media - Specialists (Certified)",="Certified",.,.,.,1.0,1.0
="Windham School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",13.7,14.0,18.7,17.6,21.0
,="Counselors  Social Workers  and School Psychologists",="Certified",22.5,22.1,15.8,17.0,18.4
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",25.8,39.8,45.0,52.0,61.0
,="General Education - Teachers and Instructors",="Certified",221.3,224.8,220.3,251.0,238.7
,="Library/Media - Support Staff",="Non-Certified",3.0,3.1,4.0,6.0,5.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",152.2,200.6,171.5,175.3,187.7
,="School Nurses",="Non-Certified",6.0,8.0,8.5,8.5,10.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",40.0,51.8,52.8,55.0,58.0
,="Special Education - Teachers and Instructors",="Certified",42.4,41.8,38.1,39.7,38.6
,="Instructional Specialists Who Support Teachers",="Certified",12.9,13.0,16.2,12.2,23.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",8.0,7.0,9.0,8.0,8.0
,="Library/Media - Specialists (Certified)",="Certified",3.0,3.0,2.0,1.5,2.0
="Windsor Locks School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",9.4,7.4,6.4,7.4,6.0
,="Counselors  Social Workers  and School Psychologists",="Certified",12.0,13.0,13.0,13.0,15.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",27.9,27.0,29.3,30.8,29.7
,="General Education - Teachers and Instructors",="Certified",125.3,120.7,127.3,129.3,131.4
,="Library/Media - Support Staff",="Non-Certified",3.3,3.3,3.3,3.3,3.9
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",97.1,90.8,91.7,92.9,104.5
,="School Nurses",="Non-Certified",4.7,5.7,5.9,5.0,4.9
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",41.9,38.5,40.9,40.6,43.0
,="Special Education - Teachers and Instructors",="Certified",22.0,21.0,20.0,20.0,20.0
,="Instructional Specialists Who Support Teachers",="Certified",7.2,7.0,5.0,6.2,2.7
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",5.0,4.0,4.0,4.0,4.0
,="Library/Media - Specialists (Certified)",="Certified",4.0,4.0,4.0,4.0,3.0
="Windsor School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",17.0,17.1,16.1,17.0,16.6
,="Counselors  Social Workers  and School Psychologists",="Certified",29.3,27.5,25.3,25.3,27.3
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",8.0,9.0,3.0,3.0,15.0
,="General Education - Teachers and Instructors",="Certified",274.5,273.5,268.7,261.2,262.9
,="Library/Media - Support Staff",="Non-Certified",4.0,4.0,3.0,3.0,3.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",184.1,188.0,224.7,215.6,223.9
,="School Nurses",="Non-Certified",9.4,9.4,8.4,8.4,8.6
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",58.0,73.0,90.0,99.0,99.0
,="Special Education - Teachers and Instructors",="Certified",46.4,45.7,45.8,43.8,48.0
,="Instructional Specialists Who Support Teachers",="Certified",28.7,24.3,25.0,25.0,23.4
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",12.9,11.1,13.0,12.5,13.5
,="Library/Media - Specialists (Certified)",="Certified",8.0,8.0,8.0,8.0,8.0
="Wolcott School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",9.3,9.2,9.4,9.7,10.2
,="Counselors  Social Workers  and School Psychologists",="Certified",12.9,14.0,13.8,12.0,15.8
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",11.7,11.7,11.7,9.0,9.0
,="General Education - Teachers and Instructors",="Certified",175.4,171.5,169.4,166.6,174.2
,="Library/Media - Support Staff",="Non-Certified",5.0,5.0,5.0,5.0,5.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",130.3,124.4,122.6,120.7,124.4
,="School Nurses",="Non-Certified",5.0,5.0,5.0,5.0,5.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",35.5,34.0,36.0,31.0,30.0
,="Special Education - Teachers and Instructors",="Certified",28.0,24.0,24.0,23.1,23.0
,="Instructional Specialists Who Support Teachers",="Certified",5.9,7.4,7.4,8.0,4.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",4.0,4.0,5.0,4.0,5.0
,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Woodbridge School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,2.0,2.0,2.0,2.0
,="Counselors  Social Workers  and School Psychologists",="Certified",2.5,2.5,2.5,2.5,2.5
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",15.0,15.0,15.0,16.0,.
,"General Education - Teachers and Instructors","Certified",55.5,57.0,57.0,58.0,61.0
,="Library/Media - Support Staff",="Non-Certified",2.0,2.0,2.0,2.0,.
,"Other Staff Providing Non-Instructional Services/Support","Certified/Non-Certified",22.7,22.7,21.9,21.9,.
,"School Nurses","Non-Certified",1.5,1.5,1.8,1.8,.
,"Special Education - Paraprofessional Instructional Assistants","Non-Certified",12.0,13.0,10.0,9.0,.
,"Special Education - Teachers and Instructors","Certified",9.0,8.0,8.0,8.0,8.0
,="Instructional Specialists Who Support Teachers",="Certified",3.0,2.0,2.0,2.0,2.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",3.0,3.0,3.0,3.0,5.0
,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Woodstock Academy District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",8.9,10.2,11.1,9.5,10.6
,="Counselors  Social Workers  and School Psychologists",="Certified",7.6,7.6,8.2,8.0,8.4
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,="General Education - Teachers and Instructors",="Certified",74.4,74.8,76.8,73.0,72.0
,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",39.5,48.5,48.5,45.5,45.5
,="School Nurses",="Non-Certified",1.0,2.0,2.0,2.0,2.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",7.0,10.0,9.0,8.0,8.0
,="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,4.0,5.0
,="Instructional Specialists Who Support Teachers",="Certified",.,0.3,0.3,0.7,.
,"Library/Media - Specialists (Certified)","Certified",1.0,1.0,1.0,1.0,1.0
="Woodstock School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",4.0,4.0,4.0,3.0,2.5
,="Counselors  Social Workers  and School Psychologists",="Certified",2.4,2.4,3.4,3.4,3.4
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",17.0,17.0,15.0,14.0,5.0
,="General Education - Teachers and Instructors",="Certified",56.0,53.0,59.0,57.0,56.0
,="Library/Media - Support Staff",="Non-Certified",2.0,2.0,1.0,1.0,1.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",34.1,34.1,34.2,34.8,33.8
,="School Nurses",="Non-Certified",2.0,2.0,2.0,2.0,2.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",34.0,34.0,34.0,35.0,39.0
,="Special Education - Teachers and Instructors",="Certified",6.0,6.0,6.0,6.0,6.0
,="Instructional Specialists Who Support Teachers",="Certified",3.0,3.0,3.0,3.0,2.5
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",2.6,2.6,2.6,2.6,2.6
,="Library/Media - Specialists (Certified)",="Certified",1.0,2.0,2.0,1.0,1.0
="Department of Mental Health and Addiction Services",="Special Education - Teachers and Instructors",="Certified",.,2.0,2.0,1.0,1.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",.,1.0,1.0,1.0,1.0
="Department of Social Services",="Special Education - Teachers and Instructors",="Certified",.,33.0,34.0,35.0,.
"Project Oceanology","General Education - Teachers and Instructors","Certified",.,5.5,5.5,5.5,.
,"Administrators  Coordinators and Department Chairs - District Central Office","Certified",.,1.0,1.0,1.0,.
"Brass City Charter School District","Administrators  Coordinators and Department Chairs - School Level","Certified",.,.,.,0.3,.
,"General Education - Paraprofessional Instructional Assistants","Non-Certified",.,.,.,5.7,3.6
,="General Education - Teachers and Instructors",="Certified",.,.,.,6.3,13.9
,="Library/Media - Support Staff",="Non-Certified",.,.,.,0.0,0.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",.,.,.,4.7,6.4
,="School Nurses",="Non-Certified",.,.,.,0.2,0.2
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",.,.,.,0.0,0.0
="Booker T. Washington Academy District",="General Education - Teachers and Instructors",="Certified",.,.,.,.,9.3
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",.,.,.,.,1.0
="Department of Rehabilitation Services",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,1.0
="Elm City Montessori School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",.,.,.,.,9.0
,="Library/Media - Support Staff",="Non-Certified",.,.,.,.,0.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",.,.,.,.,2.6
,="School Nurses",="Non-Certified",.,.,.,.,0.1
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",.,.,.,.,0.5
="Great Oaks Charter School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",.,.,.,.,1.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",.,.,.,.,14.0
,="General Education - Teachers and Instructors",="Certified",.,.,.,.,4.0
,="Library/Media - Support Staff",="Non-Certified",.,.,.,.,0.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",.,.,.,.,3.0
,="School Nurses",="Non-Certified",.,.,.,.,0.5
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",.,.,.,.,4.0
