"Student Counts by School and Race"
"All Districts, All Schools"
"Trend"

"",,,,"Race",,,,,,,,,,,,
"Wallingford School District","=""1480011""","Parker Farms School","=""1480311""",0,"*",194,79,37,260,459,"*",0,15,1424,684,3158
"Wallingford School District","=""1480011""","Pond Hill School","=""1481211""","*",0,101,64,27,133,427,0,0,"*",1825,749,3338
"Wallingford School District","=""1480011""","Rock Hill School","=""1480411""","*","*",186,38,36,60,393,0,"*",14,1836,861,3432
"Wallingford School District","=""1480011""","Yalesville School","=""1480811""",0,8,277,33,37,92,262,"*","*",20,2036,1325,4098
"Waterbury School District","=""1510011""","Brooklyn Elementary School","=""1511011""",0,0,11,39,171,309,111,0,0,11,27,147,826
"Waterbury School District","=""1510011""","West Side Middle School","=""1515211""","*",31,161,1615,915,1709,3873,"*",0,210,1486,985,10992
"Waterbury School District","=""1510011""","Washington School","=""1512311""",10,45,38,417,148,651,1570,0,0,59,217,106,3261
"Waterbury School District","=""1510011""","B. W. Tinker School","=""1512111""",6,6,115,655,367,555,1606,0,0,209,1438,693,5650
"Waterbury School District","=""1510011""","B.W. Tinker BDLC","=""1510411""",0,0,0,12,0,0,"*",0,0,0,"*",0,28
"Waterbury School District","=""1510011""","Barnard School","=""1510311""",8,"*","*",60,204,355,134,0,0,7,58,218,1051
"Waterbury School District","=""1510011""","Bucks Hill Bilingual","=""1514311""",0,0,0,0,0,0,152,0,0,0,0,0,152
"Waterbury School District","=""1510011""","Bucks Hill CBL","=""1514611""",0,0,"*","*",0,0,"*",0,0,0,"*",0,9
"Waterbury School District","=""1510011""","Bucks Hill School","=""1510511""","*","*",68,753,534,875,2426,0,0,112,347,277,5398
"Waterbury School District","=""1510011""","Bunker Hill BDLC","=""1510111""",0,0,0,"*",0,0,20,0,0,"*",8,0,37
"Waterbury School District","=""1510011""","Bunker Hill School","=""1510611""","*",14,150,937,485,636,1651,0,"*",95,686,371,5030
"Waterbury School District","=""1510011""","Carrington ESC","=""1511911""",0,0,0,"*",0,0,17,0,0,0,"*",0,23
"Waterbury School District","=""1510011""","Carrington School","=""1512711""","*","*",100,699,268,826,1546,0,0,52,962,423,4882
"Waterbury School District","=""1510011""","Chase Bilingual","=""1514111""",0,0,0,0,0,0,"*",0,0,0,"*",0,104
"Waterbury School District","=""1510011""","Crosby Autism","=""1514511""",0,0,0,"*",0,0,"*",0,0,0,0,0,6
"Waterbury School District","=""1510011""","Crosby High School","=""1516211""",14,59,321,2678,1196,1690,4365,21,0,210,1687,1026,13267
"Waterbury School District","=""1510011""","Crosby NVCC","=""1514011""",0,0,0,"*",0,0,10,0,0,0,"*",0,15
"Waterbury School District","=""1510011""","Driggs School","=""1510911""","*","*",45,1058,550,896,2039,0,0,135,445,213,5397
"Waterbury School District","=""1510011""","Duggan CBL","=""1513611""",0,0,"*","*",0,0,"*",0,0,0,"*",0,8
"Waterbury School District","=""1510011""","Duggan School","=""1511611""",0,15,12,610,0,0,1537,0,0,131,400,0,2705
"Waterbury School District","=""1510011""","Enlightenment School","=""1519111""","*",0,"*",361,186,269,684,"*",0,23,131,62,1721
"Waterbury School District","=""1510011""","Excel II","=""1513811""",0,0,0,"*",0,0,0,0,0,"*",0,0,"*"
"Waterbury School District","=""1510011""","Excel III","=""1513911""",0,0,0,0,0,0,"*",0,0,0,"*",0,6
"Waterbury School District","=""1510011""","F. J. Kingsbury School","=""1511411""","*",10,58,1104,474,705,1876,"*",0,107,452,233,5023
"Waterbury School District","=""1510011""","Gilmartin School","=""1512611""",6,53,81,675,183,316,1618,0,0,98,687,208,3925
"Waterbury School District","=""1510011""","H. S. Chase School","=""1510711""",8,49,182,1038,602,1063,2625,0,0,143,1307,660,7677
"Waterbury School District","=""1510011""","Hopeville Bilingual","=""1514211""",0,0,0,0,0,0,95,0,0,0,0,0,95
"Waterbury School District","=""1510011""","Hopeville School","=""1511311""","*","*",43,488,207,847,2039,0,0,107,490,231,4479
"Waterbury School District","=""1510011""","John F. Kennedy High School","=""1516411""","*",63,247,2079,905,1626,4379,"*",0,170,2420,1370,13271
"Waterbury School District","=""1510011""","Maloney Interdistrict Magnet School","=""1513111""","*",20,155,691,418,412,1255,"*",0,192,1919,905,5984
"Waterbury School District","=""1510011""","Maloney Prek","=""1519811""",0,"*","*",10,0,0,35,0,0,0,7,0,56
"Waterbury School District","=""1510011""","Margaret M. Generali Autism","=""1513511""",0,0,0,21,0,0,26,0,0,"*","*",0,55
"Waterbury School District","=""1510011""","Margaret M. Generali Elementary School","=""1511111""","*","*",88,798,467,701,1965,8,0,145,1032,544,5759
"Waterbury School District","=""1510011""","Michael F. Wallace Autism","=""1512911""",0,0,0,11,0,0,7,0,0,0,8,0,26
"Waterbury School District","=""1510011""","Michael F. Wallace Middle School","=""1515111""","*",71,275,2167,1188,1720,4265,"*",0,260,1561,985,12509
"Waterbury School District","=""1510011""","North End ESC","=""1511811""",0,0,0,0,0,0,"*",0,0,0,"*",0,10
"Waterbury School District","=""1510011""","North End Middle School","=""1515311""",7,22,161,2187,1303,1795,4089,9,0,159,965,565,11262
"Waterbury School District","=""1510011""","Reed ESC","=""1512411""",0,0,0,7,0,0,22,0,0,0,9,0,38
"Waterbury School District","=""1510011""","Reed School","=""1513411""",0,"*","*",564,0,0,1264,"*",0,65,131,0,2034
"Waterbury School District","=""1510011""","Regan School","=""1512811""",0,"*","*",577,339,358,894,0,0,73,314,189,2787
"Waterbury School District","=""1510011""","Rotella Interdistrict Magnet School","=""1513311""","*","*",144,646,388,373,1294,0,0,244,2014,1024,6139
"Waterbury School District","=""1510011""","Special Education Preschool","=""1518011""","*","*",53,257,144,313,833,0,0,53,280,169,2111
"Waterbury School District","=""1510011""","Sprague School","=""1512011""","*","*",47,693,389,854,1837,0,0,83,369,164,4444
"Waterbury School District","=""1510011""","State Street School","=""1519011""",0,0,0,187,94,109,280,0,0,"*","*",43,760
"Waterbury School District","=""1510011""","Walsh School","=""1512211""","*","*",34,1066,625,909,1868,0,0,72,192,103,4875
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (High)","=""1516011""","*",7,76,760,361,281,870,"*",0,179,1483,792,4813
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (Middle)","=""1515011""",6,"*",44,468,245,233,682,"*",0,120,1003,454,3263
"Waterbury School District","=""1510011""","Waterbury Career Academy","=""1516711""",0,17,82,611,0,0,1071,0,0,85,406,0,2272
"Waterbury School District","=""1510011""","Wendell L. Cross School","=""1510811""",12,36,116,449,278,383,1195,0,0,78,680,351,3578
"Waterbury School District","=""1510011""","Wilby ESC","=""1511711""",0,0,"*","*",0,0,6,0,0,"*",6,0,15
"Waterbury School District","=""1510011""","Wilby High School","=""1516311""",18,19,158,2960,1328,1640,4535,8,0,158,950,538,12312
"Waterbury School District","=""1510011""","Woodrow Wilson BDLC","=""1511211""",0,0,0,8,0,0,21,0,0,"*","*",0,32
"Waterbury School District","=""1510011""","Woodrow Wilson School","=""1513211""","*",11,20,817,435,605,1874,"*",0,73,223,131,4193
"Waterford School District","=""1520011""","Autism Class","=""1521111""",0,0,"*",0,0,0,"*",0,0,0,"*",0,6
"Waterford School District","=""1520011""","Avery Point Transition Program","=""1520311""",0,0,"*","*",0,0,0,0,0,"*",10,0,14
"Waterford School District","=""1520011""","Clark Lane Middle School","=""1525111""","*",37,369,182,104,140,390,"*",0,62,3747,1705,6764
"Waterford School District","=""1520011""","Cohanzie Elementary School","=""1520111""",8,0,18,0,20,21,0,0,0,0,0,320,387
"Waterford School District","=""1520011""","Great Neck Elementary School","=""1520211""","*","*",112,44,10,16,185,"*",0,61,1998,229,2661
"Waterford School District","=""1520011""","Oswegatchie Elementary School","=""1520611""",12,15,227,100,42,44,219,0,0,83,2071,811,3624
"Waterford School District","=""1520011""","Quaker Hill Elementary School","=""1520711""","*",37,202,77,34,62,208,"*",0,101,1937,648,3320
"Waterford School District","=""1520011""","Southwest Elementary School","=""1520511""",6,0,54,0,38,76,0,0,0,0,0,956,1130
"Waterford School District","=""1520011""","Waterford High School","=""1526111""","*",61,503,291,153,151,480,"*",0,61,4744,2519,8977
"Waterford School District","=""1520011""","Waterford High School Tutor Center","=""1521211""",0,0,0,0,0,0,0,0,0,0,"*",0,"*"
"Watertown School District","=""1530011""","Fletcher W. Judson School","=""1530311""","*","*",45,22,16,37,152,0,0,46,1895,1013,3238
"Watertown School District","=""1530011""","Heminway Park School","=""1530611""","*",0,"*",0,8,11,0,0,0,0,0,243,272
"Watertown School District","=""1530011""","John Trumbull Primary School","=""1530211""",21,"*",146,77,53,110,336,"*",0,129,4037,2048,6965
"Watertown School District","=""1530011""","Polk School","=""1530411""","*","*",105,65,17,67,191,0,0,57,2046,987,3540
"Watertown School District","=""1530011""","Swift Middle School","=""1535111""",11,12,169,95,39,70,356,0,0,137,4323,2078,7290
"Watertown School District","=""1530011""","Watertown High School","=""1536111""",21,25,209,152,51,86,335,0,0,135,5522,2747,9283
"Watertown School District","=""1530011""","Watertown Transition Academy","=""1530811""",0,0,0,0,0,0,0,0,0,0,"*",0,"*"
"West Hartford School District","=""1550011""","Smith School","=""1551711""",0,"*",698,283,189,384,889,"*",6,96,787,319,3653
"West Hartford School District","=""1550011""","Achieve","=""1559111""",0,0,"*",10,"*",0,7,0,0,"*",39,7,69
"West Hartford School District","=""1550011""","REACH","=""1557311""",0,0,"*",27,0,0,46,0,0,"*",25,0,107
"West Hartford School District","=""1550011""","Aiken School","=""1551611""","*",13,753,215,113,76,307,"*",0,121,1960,896,4469
"West Hartford School District","=""1550011""","Braeburn Learning Center","=""1559311""",0,0,0,7,0,0,"*",0,0,0,"*",0,16
"West Hartford School District","=""1550011""","Braeburn School","=""1550211""","*","*",261,155,86,127,271,0,0,100,1990,1014,4012
"West Hartford School District","=""1550011""","Bristow Middle School","=""1555311""","*","*",422,217,110,172,374,0,0,168,1842,879,4193
"West Hartford School District","=""1550011""","Bugbee School","=""1550411""",9,"*",330,104,48,55,166,"*",0,82,2503,961,4264
"West Hartford School District","=""1550011""","Charter Oak International Academy","=""1550511""","*",10,587,284,194,438,958,"*",0,128,554,205,3367
"West Hartford School District","=""1550011""","Conard High School","=""1556111""","*",18,1636,1056,489,857,1982,"*",0,252,6018,2704,15027
"West Hartford School District","=""1550011""","Duffy School","=""1550611""",0,0,303,196,92,96,290,0,0,128,2768,1453,5326
"West Hartford School District","=""1550011""","Hall High School","=""1556211""","*",33,1413,946,536,567,1409,"*",0,265,6699,3237,15120
"West Hartford School District","=""1550011""","King Philip Middle School","=""1555111""",13,18,1064,514,282,294,916,9,0,232,4007,1771,9120
"West Hartford School District","=""1550011""","Morley School","=""1550911""",7,0,182,127,82,61,214,0,0,96,1757,900,3426
"West Hartford School District","=""1550011""","Norfeldt Learning Center","=""1559411""",0,0,"*","*",0,0,"*",0,0,"*",11,0,21
"West Hartford School District","=""1550011""","Norfeldt School","=""1551011""",0,"*",538,142,"*",81,183,0,0,148,1805,986,3966
"West Hartford School District","=""1550011""","STRIVE-West Hartford","=""1559211""",0,0,"*",42,0,0,72,0,0,"*",52,0,173
"West Hartford School District","=""1550011""","Sedgwick Middle School","=""1555211""",6,14,999,570,280,474,1206,0,0,173,3523,1546,8791
"West Hartford School District","=""1550011""","Strive-West Hartford","=""1559211""",0,0,"*",42,0,0,72,0,0,"*",52,0,173
"West Hartford School District","=""1550011""","WAAVE (W Hartford Applied Academic/Voc'l Experience)","=""1559011""",0,0,"*",12,"*","*",7,0,0,0,58,18,105
"West Hartford School District","=""1550011""","Webster Hill School","=""1551211""","*","*",516,276,125,247,626,0,0,78,1857,762,4496
"West Hartford School District","=""1550011""","Whiting Lane Learning Center","=""1559511""",0,0,"*","*",0,0,8,0,0,"*",11,0,25
"West Hartford School District","=""1550011""","Whiting Lane School","=""1551311""","*","*",448,396,174,230,658,"*",0,109,2018,938,4981
"West Hartford School District","=""1550011""","Wolcott Learning Center","=""1559611""",0,0,7,"*",0,0,"*",0,0,"*",13,0,30
"West Hartford School District","=""1550011""","Wolcott School","=""1551511""","*",11,832,254,118,236,607,"*","*",116,1806,892,4879
"West Haven School District","=""1560011""","Washington School","=""1561211""",0,"*",121,578,278,352,1444,12,"*",123,1004,579,4497
"West Haven School District","=""1560011""","Life Skills","=""1560111""",0,0,0,8,0,0,"*",0,0,"*",8,0,24
"West Haven School District","=""1560011""","ASD Lab","=""1561111""",0,0,"*","*",0,0,6,0,0,0,"*",0,16
"West Haven School District","=""1560011""","Alma E. Pagels School","=""1560811""","*","*",207,573,222,147,525,0,0,79,1195,635,3589
"West Haven School District","=""1560011""","Anna V. Molloy School","=""1561311""",0,0,71,0,247,269,0,0,0,0,0,223,810
"West Haven School District","=""1560011""","Blended","=""1560711""",0,0,0,9,0,0,9,0,0,0,15,0,33
"West Haven School District","=""1560011""","Blended (Molloy)","=""1560511""",0,0,"*",7,0,0,"*",0,0,"*",18,0,29
"West Haven School District","=""1560011""","Carrigan 5/6 Intermediate School","=""1565311""","*",6,264,1425,643,682,2073,"*",0,260,2356,765,8478
"West Haven School District","=""1560011""","Clarence E. Thompson School","=""1561011""",10,0,36,0,333,408,0,0,0,0,0,302,1089
"West Haven School District","=""1560011""","Edith E. Mackrille School","=""1560611""","*","*",213,456,191,202,591,0,0,86,1141,663,3559
"West Haven School District","=""1560011""","Forest School","=""1560311""","*","*",182,892,464,471,1410,0,0,159,646,356,4586
"West Haven School District","=""1560011""","Harry M. Bailey Middle School","=""1565111""",24,11,329,1385,384,383,1986,0,0,244,2392,1272,8410
"West Haven School District","=""1560011""","PACE","=""1560211""",0,0,0,37,0,0,39,0,0,"*","*",0,107
"West Haven School District","=""1560011""","Savin Rock Community School","=""1561411""","*","*",129,835,355,457,1573,0,0,117,859,506,4845
"West Haven School District","=""1560011""","Seth G. Haley School","=""1560411""","*","*",210,385,288,226,833,0,0,96,1732,935,4719
"West Haven School District","=""1560011""","West Haven High School","=""1566111""",33,"*",539,2573,1304,993,3133,"*",0,321,4213,2466,15593
"Westbrook School District","=""1540011""","Daisy Ingraham School","=""1540211""","*",7,58,8,14,53,275,0,0,"*",1733,1008,3166
"Westbrook School District","=""1540011""","Westbrook High School","=""1546111""","*","*",49,8,6,32,126,0,0,45,1801,845,2916
"Westbrook School District","=""1540011""","Westbrook Middle School","=""1545111""","*",10,49,"*",12,29,158,0,0,24,1594,864,2748
"Weston School District","=""1570011""","Hurlbutt Elementary School","=""1570111""","*","*",217,53,26,43,137,"*",0,193,2829,1548,5053
"Weston School District","=""1570011""","Weston High School","=""1576111""","*","*",268,91,36,58,185,0,0,76,4968,2243,7931
"Weston School District","=""1570011""","Weston Intermediate School","=""1570211""",0,"*",226,53,49,34,122,"*",0,154,3368,1663,5673
"Weston School District","=""1570011""","Weston Middle School","=""1575111""","*","*",237,68,27,19,133,"*",0,95,3778,1658,6020
"Westport School District","=""1580011""","Bedford Middle School","=""1585111""","*","*",475,99,39,78,306,0,0,62,5129,2296,8491
"Westport School District","=""1580011""","CES Segregated","=""1580111""",0,0,"*","*",0,0,"*",0,0,"*",7,0,14
"Westport School District","=""1580011""","Coleytown Elementary School","=""1580311""","*",0,201,49,21,24,55,"*",0,109,2680,1302,4444
"Westport School District","=""1580011""","Coleytown Middle School","=""1585311""","*","*",231,58,24,32,86,"*",0,40,3265,1396,5136
"Westport School District","=""1580011""","Green's Farms School","=""1580411""","*","*",249,30,22,59,191,0,0,198,2519,1264,4537
"Westport School District","=""1580011""","Green's Farms Segregated","=""1580211""",0,0,"*",0,0,0,0,0,0,0,"*",0,9
"Westport School District","=""1580011""","King's Highway Elementary School","=""1580511""",13,0,272,62,14,23,121,0,0,107,2890,1390,4892
