"Student Counts by School and Year"
"All Districts, All Schools"
"Trend"

"",,,,"Year",,,,,,,,,,
"Waterbury School District","=""1510011""","Bunker Hill BDLC","=""1510111""",0,0,0,0,0,0,0,0,15,22,37
"Waterbury School District","=""1510011""","Bunker Hill School","=""1510611""",519,522,491,486,497,505,514,511,495,490,5030
"Waterbury School District","=""1510011""","Carrington ESC","=""1511911""",0,0,0,0,0,0,0,0,13,10,23
"Waterbury School District","=""1510011""","Carrington School","=""1512711""",515,532,494,488,462,457,446,487,504,497,4882
"Waterbury School District","=""1510011""","Chase Bilingual","=""1514111""",0,0,0,0,0,0,0,0,0,104,104
"Waterbury School District","=""1510011""","Crosby Autism","=""1514511""",0,0,0,0,0,0,0,0,0,6,6
"Waterbury School District","=""1510011""","Crosby High School","=""1516211""",1368,1336,1330,1388,1377,1463,1389,1287,1192,1137,13267
"Waterbury School District","=""1510011""","Crosby NVCC","=""1514011""",0,0,0,0,0,0,0,0,15,0,15
"Waterbury School District","=""1510011""","Driggs School","=""1510911""",550,575,547,530,544,554,547,528,515,507,5397
"Waterbury School District","=""1510011""","Duggan CBL","=""1513611""",0,0,0,0,0,0,0,0,8,0,8
"Waterbury School District","=""1510011""","Duggan School","=""1511611""",0,0,0,0,381,437,464,464,463,496,2705
"Waterbury School District","=""1510011""","Enlightenment School","=""1519111""",166,179,175,150,176,198,191,179,139,168,1721
"Waterbury School District","=""1510011""","Excel II","=""1513811""",0,0,0,0,0,0,0,0,"*",0,"*"
"Waterbury School District","=""1510011""","Excel III","=""1513911""",0,0,0,0,0,0,0,0,6,0,6
"Waterbury School District","=""1510011""","F. J. Kingsbury School","=""1511411""",495,465,471,473,515,510,515,513,541,525,5023
"Waterbury School District","=""1510011""","Gilmartin School","=""1512611""",239,244,249,330,400,487,518,506,479,473,3925
"Waterbury School District","=""1510011""","H. S. Chase School","=""1510711""",798,802,785,716,756,756,784,817,788,675,7677
"Waterbury School District","=""1510011""","Hopeville Bilingual","=""1514211""",0,0,0,0,0,0,0,0,0,95,95
"Waterbury School District","=""1510011""","Hopeville School","=""1511311""",465,436,414,419,445,460,485,476,490,389,4479
"Waterbury School District","=""1510011""","John F. Kennedy High School","=""1516411""",1313,1306,1369,1368,1414,1358,1286,1304,1301,1252,13271
"Waterbury School District","=""1510011""","Maloney Interdistrict Magnet School","=""1513111""",593,599,607,607,603,601,602,592,590,590,5984
"Waterbury School District","=""1510011""","Maloney Prek","=""1519811""",0,0,0,0,0,0,0,0,30,26,56
"Waterbury School District","=""1510011""","Margaret M. Generali Autism","=""1513511""",0,0,0,0,0,0,0,0,26,29,55
"Waterbury School District","=""1510011""","Margaret M. Generali Elementary School","=""1511111""",563,596,583,557,533,585,601,603,557,581,5759
"Waterbury School District","=""1510011""","Michael F. Wallace Autism","=""1512911""",0,0,0,0,0,0,0,0,19,7,26
"Waterbury School District","=""1510011""","Michael F. Wallace Middle School","=""1515111""",1343,1329,1340,1348,1223,1220,1171,1159,1182,1194,12509
"Waterbury School District","=""1510011""","North End ESC","=""1511811""",0,0,0,0,0,0,0,0,"*","*",10
"Waterbury School District","=""1510011""","North End Middle School","=""1515311""",1259,1226,1231,1206,1195,1105,1050,1016,989,985,11262
"Waterbury School District","=""1510011""","Reed ESC","=""1512411""",0,0,0,0,0,0,0,0,20,18,38
"Waterbury School District","=""1510011""","Reed School","=""1513411""",0,0,0,0,0,329,378,429,434,464,2034
"Waterbury School District","=""1510011""","Regan School","=""1512811""",313,299,291,280,292,254,261,279,256,262,2787
"Waterbury School District","=""1510011""","Rotella Interdistrict Magnet School","=""1513311""",614,614,613,616,615,615,614,612,613,613,6139
"Waterbury School District","=""1510011""","Special Education Preschool","=""1518011""",199,224,218,208,213,200,203,201,217,228,2111
"Waterbury School District","=""1510011""","Sprague School","=""1512011""",488,479,457,376,370,400,472,461,465,476,4444
"Waterbury School District","=""1510011""","State Street School","=""1519011""",77,83,86,77,71,84,79,76,59,68,760
"Waterbury School District","=""1510011""","Walsh School","=""1512211""",551,558,543,567,499,511,459,455,372,360,4875
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (High)","=""1516011""",485,481,485,481,467,469,489,490,488,478,4813
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (Middle)","=""1515011""",313,319,316,319,330,333,331,330,331,341,3263
"Waterbury School District","=""1510011""","Waterbury Career Academy","=""1516711""",0,0,0,0,0,0,245,469,693,865,2272
"Waterbury School District","=""1510011""","Wendell L. Cross School","=""1510811""",349,352,367,374,377,352,367,366,324,350,3578
"Waterbury School District","=""1510011""","Wilby ESC","=""1511711""",0,0,0,0,0,0,0,0,"*","*",15
"Waterbury School District","=""1510011""","Wilby High School","=""1516311""",1204,1192,1184,1306,1321,1329,1292,1236,1172,1076,12312
"Waterbury School District","=""1510011""","Woodrow Wilson BDLC","=""1511211""",0,0,0,0,0,0,0,0,17,15,32
"Waterbury School District","=""1510011""","Woodrow Wilson School","=""1513211""",357,397,427,418,423,425,417,446,431,452,4193
"Waterford School District","=""1520011""","Autism Class","=""1521111""",0,0,0,0,0,0,0,0,"*","*",6
"Waterford School District","=""1520011""","Avery Point Transition Program","=""1520311""",0,0,0,0,0,0,0,0,6,8,14
"Waterford School District","=""1520011""","Clark Lane Middle School","=""1525111""",730,694,667,689,683,675,664,656,669,637,6764
"Waterford School District","=""1520011""","Cohanzie Elementary School","=""1520111""",387,0,0,0,0,0,0,0,0,0,387
"Waterford School District","=""1520011""","Great Neck Elementary School","=""1520211""",280,0,0,384,351,353,339,340,314,300,2661
"Waterford School District","=""1520011""","Oswegatchie Elementary School","=""1520611""",286,268,437,404,399,394,374,352,354,356,3624
"Waterford School District","=""1520011""","Quaker Hill Elementary School","=""1520711""",0,415,403,366,357,361,362,348,344,364,3320
"Waterford School District","=""1520011""","Southwest Elementary School","=""1520511""",236,514,380,0,0,0,0,0,0,0,1130
"Waterford School District","=""1520011""","Waterford High School","=""1526111""",1013,988,980,959,895,844,807,827,818,846,8977
"Waterford School District","=""1520011""","Waterford High School Tutor Center","=""1521211""",0,0,0,0,0,0,0,0,"*","*","*"
"Watertown School District","=""1530011""","Fletcher W. Judson School","=""1530311""",380,366,345,349,324,307,286,294,289,298,3238
"Watertown School District","=""1530011""","Heminway Park School","=""1530611""",272,0,0,0,0,0,0,0,0,0,272
"Watertown School District","=""1530011""","John Trumbull Primary School","=""1530211""",798,753,733,697,701,682,677,648,637,639,6965
"Watertown School District","=""1530011""","Polk School","=""1530411""",356,373,390,368,345,337,338,348,360,325,3540
"Watertown School District","=""1530011""","Swift Middle School","=""1535111""",602,864,784,760,771,770,734,680,665,660,7290
"Watertown School District","=""1530011""","Watertown High School","=""1536111""",990,980,986,1001,956,928,882,861,860,839,9283
"Watertown School District","=""1530011""","Watertown Transition Academy","=""1530811""",0,0,0,0,0,0,0,0,0,"*","*"
"West Hartford School District","=""1550011""","Smith School","=""1551711""",380,379,368,363,337,364,368,361,359,374,3653
"West Hartford School District","=""1550011""","Achieve","=""1559111""",0,"*","*","*",6,9,8,9,10,13,69
"West Hartford School District","=""1550011""","REACH","=""1557311""",0,0,0,0,0,0,0,31,36,40,107
"West Hartford School District","=""1550011""","Aiken School","=""1551611""",457,453,459,444,471,460,468,430,417,410,4469
"West Hartford School District","=""1550011""","Braeburn Learning Center","=""1559311""",0,0,0,0,0,0,0,"*","*",6,16
"West Hartford School District","=""1550011""","Braeburn School","=""1550211""",440,454,438,432,417,384,364,369,364,350,4012
"West Hartford School District","=""1550011""","Bristow Middle School","=""1555311""",409,420,420,423,423,420,418,421,422,417,4193
"West Hartford School District","=""1550011""","Bugbee School","=""1550411""",384,364,411,419,455,459,467,455,430,420,4264
"West Hartford School District","=""1550011""","Charter Oak International Academy","=""1550511""",341,361,340,314,299,308,315,316,322,451,3367
"West Hartford School District","=""1550011""","Conard High School","=""1556111""",1461,1466,1564,1552,1451,1542,1502,1493,1540,1456,15027
"West Hartford School District","=""1550011""","Duffy School","=""1550611""",557,589,582,559,524,503,532,505,487,488,5326
"West Hartford School District","=""1550011""","Hall High School","=""1556211""",1568,1571,1580,1572,1531,1475,1476,1437,1463,1447,15120
"West Hartford School District","=""1550011""","King Philip Middle School","=""1555111""",907,901,876,879,884,912,906,931,939,985,9120
"West Hartford School District","=""1550011""","Morley School","=""1550911""",367,364,379,377,356,334,330,335,301,283,3426
"West Hartford School District","=""1550011""","Norfeldt Learning Center","=""1559411""",0,0,0,0,0,0,0,"*","*",10,21
"West Hartford School District","=""1550011""","Norfeldt School","=""1551011""",444,433,427,413,425,406,371,357,347,343,3966
"West Hartford School District","=""1550011""","STRIVE-West Hartford","=""1559211""",0,0,0,0,26,25,28,33,29,32,173
"West Hartford School District","=""1550011""","Sedgwick Middle School","=""1555211""",865,866,879,924,942,893,839,848,861,874,8791
"West Hartford School District","=""1550011""","Strive-West Hartford","=""1559211""",0,0,0,0,26,25,28,33,29,32,173
"West Hartford School District","=""1550011""","WAAVE (W Hartford Applied Academic/Voc'l Experience)","=""1559011""",0,13,12,12,12,9,8,10,12,17,105
"West Hartford School District","=""1550011""","Webster Hill School","=""1551211""",436,438,446,470,472,489,455,445,430,415,4496
"West Hartford School District","=""1550011""","Whiting Lane Learning Center","=""1559511""",0,0,0,0,0,0,0,7,8,10,25
"West Hartford School District","=""1550011""","Whiting Lane School","=""1551311""",504,495,505,551,553,538,520,482,437,396,4981
"West Hartford School District","=""1550011""","Wolcott Learning Center","=""1559611""",0,0,0,0,0,0,0,8,8,14,30
"West Hartford School District","=""1550011""","Wolcott School","=""1551511""",470,511,497,513,513,500,496,454,467,458,4879
"West Haven School District","=""1560011""","Washington School","=""1561211""",400,403,431,459,461,440,482,480,469,472,4497
"West Haven School District","=""1560011""","Life Skills","=""1560111""",0,0,0,0,0,0,"*","*",6,7,24
"West Haven School District","=""1560011""","ASD Lab","=""1561111""",0,0,0,0,0,0,0,0,10,6,16
"West Haven School District","=""1560011""","Alma E. Pagels School","=""1560811""",358,355,367,400,359,370,365,343,340,332,3589
"West Haven School District","=""1560011""","Anna V. Molloy School","=""1561311""",266,258,286,0,0,0,0,0,0,0,810
"West Haven School District","=""1560011""","Blended","=""1560711""",0,0,0,0,0,0,0,0,17,16,33
"West Haven School District","=""1560011""","Blended (Molloy)","=""1560511""",0,0,0,0,0,0,0,0,17,12,29
"West Haven School District","=""1560011""","Carrigan 5/6 Intermediate School","=""1565311""",744,693,701,949,922,889,862,860,901,957,8478
"West Haven School District","=""1560011""","Clarence E. Thompson School","=""1561011""",353,353,383,0,0,0,0,0,0,0,1089
"West Haven School District","=""1560011""","Edith E. Mackrille School","=""1560611""",384,383,366,399,396,357,356,326,300,292,3559
"West Haven School District","=""1560011""","Forest School","=""1560311""",444,438,461,464,476,453,466,478,461,445,4586
"West Haven School District","=""1560011""","Harry M. Bailey Middle School","=""1565111""",710,739,729,991,948,907,866,872,842,806,8410
"West Haven School District","=""1560011""","PACE","=""1560211""",0,0,0,0,0,0,0,35,36,36,107
"West Haven School District","=""1560011""","Savin Rock Community School","=""1561411""",452,464,438,517,510,533,499,478,481,473,4845
"West Haven School District","=""1560011""","Seth G. Haley School","=""1560411""",528,504,503,471,472,480,484,451,419,407,4719
"West Haven School District","=""1560011""","West Haven High School","=""1566111""",1758,1640,1569,1545,1515,1590,1565,1527,1456,1428,15593
"Westbrook School District","=""1540011""","Daisy Ingraham School","=""1540211""",356,373,368,336,336,310,293,271,261,262,3166
"Westbrook School District","=""1540011""","Westbrook High School","=""1546111""",310,292,300,301,296,286,277,294,287,273,2916
"Westbrook School District","=""1540011""","Westbrook Middle School","=""1545111""",314,303,304,309,290,276,262,236,227,227,2748
"Weston School District","=""1570011""","Hurlbutt Elementary School","=""1570111""",595,579,528,542,525,461,467,469,446,441,5053
"Weston School District","=""1570011""","Weston High School","=""1576111""",804,807,798,780,755,777,775,781,840,814,7931
"Weston School District","=""1570011""","Weston Intermediate School","=""1570211""",579,608,626,594,570,545,551,548,531,521,5673
"Weston School District","=""1570011""","Weston Middle School","=""1575111""",587,574,600,607,628,636,617,603,582,586,6020
"Westport School District","=""1580011""","Bedford Middle School","=""1585111""",840,851,845,833,851,868,858,853,835,857,8491
"Westport School District","=""1580011""","CES Segregated","=""1580111""",0,0,0,0,0,0,0,0,7,7,14
"Westport School District","=""1580011""","Coleytown Elementary School","=""1580311""",460,477,467,477,480,447,451,410,404,371,4444
"Westport School District","=""1580011""","Coleytown Middle School","=""1585311""",504,514,492,491,501,512,533,548,528,513,5136
"Westport School District","=""1580011""","Green's Farms School","=""1580411""",495,475,467,465,453,452,446,455,411,418,4537
"Westport School District","=""1580011""","Green's Farms Segregated","=""1580211""",0,0,0,0,0,0,0,0,"*","*",9
"Westport School District","=""1580011""","King's Highway Elementary School","=""1580511""",496,502,483,486,468,486,498,498,485,490,4892
"Westport School District","=""1580011""","King's Highway Segregated","=""1580611""",0,0,0,0,0,0,0,0,"*","*",11
