"Chronic Absenteeism, 2015-16"
"State of Connecticut, All Schools, Grade"

"Organization","School","School Code","Grade","% Chronically Absent"
"Waterbury School District","Margaret M. Generali Autism","=""1513511""","Grade   4","*"
"Waterbury School District","Margaret M. Generali Autism","=""1513511""","Grade   5","*"
"Waterbury School District","Margaret M. Generali Elementary School","=""1511111""","Kindergarten",5.9
"Waterbury School District","Margaret M. Generali Elementary School","=""1511111""","Grade   1",9.6
"Waterbury School District","Margaret M. Generali Elementary School","=""1511111""","Grade   2","*"
"Waterbury School District","Margaret M. Generali Elementary School","=""1511111""","Grade   3","*"
"Waterbury School District","Margaret M. Generali Elementary School","=""1511111""","Grade   4","*"
"Waterbury School District","Margaret M. Generali Elementary School","=""1511111""","Grade   5","*"
"Waterbury School District","Reed ESC","=""1512411""","Kindergarten","*"
"Waterbury School District","Reed ESC","=""1512411""","Grade   1","*"
"Waterbury School District","Reed ESC","=""1512411""","Grade   2","*"
"Waterbury School District","Reed ESC","=""1512411""","Grade   3","*"
"Waterbury School District","Reed ESC","=""1512411""","Grade   4","*"
"Waterbury School District","Reed ESC","=""1512411""","Grade   5","*"
"Waterbury School District","Reed ESC","=""1512411""","Grade   6","*"
"Waterbury School District","Reed ESC","=""1512411""","Grade   7","*"
"Waterbury School District","Reed School","=""1513411""","Kindergarten",14.3
"Waterbury School District","Reed School","=""1513411""","Grade   1",17.0
"Waterbury School District","Reed School","=""1513411""","Grade   2","*"
"Waterbury School District","Reed School","=""1513411""","Grade   3","*"
"Waterbury School District","Reed School","=""1513411""","Grade   4","*"
"Waterbury School District","Reed School","=""1513411""","Grade   5","*"
"Waterbury School District","Reed School","=""1513411""","Grade   6","*"
"Waterbury School District","Reed School","=""1513411""","Grade   7","*"
"Waterbury School District","Reed School","=""1513411""","Grade   8","*"
"Waterbury School District","Regan School","=""1512811""","Kindergarten","*"
"Waterbury School District","Regan School","=""1512811""","Grade   1","*"
"Waterbury School District","Regan School","=""1512811""","Grade   2",0.0
"Waterbury School District","Regan School","=""1512811""","Grade   3","*"
"Waterbury School District","Regan School","=""1512811""","Grade   4","*"
"Waterbury School District","Regan School","=""1512811""","Grade   5","*"
"Waterbury School District","Rotella Interdistrict Magnet School","=""1513311""","Kindergarten","*"
"Waterbury School District","Rotella Interdistrict Magnet School","=""1513311""","Grade   1","*"
"Waterbury School District","Rotella Interdistrict Magnet School","=""1513311""","Grade   2",0.0
"Waterbury School District","Rotella Interdistrict Magnet School","=""1513311""","Grade   3","*"
"Waterbury School District","Rotella Interdistrict Magnet School","=""1513311""","Grade   4","*"
"Waterbury School District","Rotella Interdistrict Magnet School","=""1513311""","Grade   5","*"
"Waterbury School District","Sprague School","=""1512011""","Kindergarten","*"
"Waterbury School District","Sprague School","=""1512011""","Grade   1",9.5
"Waterbury School District","Sprague School","=""1512011""","Grade   2",8.3
"Waterbury School District","Sprague School","=""1512011""","Grade   3","*"
"Waterbury School District","Sprague School","=""1512011""","Grade   4","*"
"Waterbury School District","Sprague School","=""1512011""","Grade   5","*"
"Waterbury School District","Walsh School","=""1512211""","Kindergarten",12.0
"Waterbury School District","Walsh School","=""1512211""","Grade   1",13.1
"Waterbury School District","Walsh School","=""1512211""","Grade   2",12.1
"Waterbury School District","Walsh School","=""1512211""","Grade   3",11.4
"Waterbury School District","Walsh School","=""1512211""","Grade   4",13.8
"Waterbury School District","Walsh School","=""1512211""","Grade   5",14.9
"Waterbury School District","Wendell L. Cross School","=""1510811""","Kindergarten","*"
"Waterbury School District","Wendell L. Cross School","=""1510811""","Grade   1","*"
"Waterbury School District","Wendell L. Cross School","=""1510811""","Grade   2",0.0
"Waterbury School District","Wendell L. Cross School","=""1510811""","Grade   3","*"
"Waterbury School District","Wendell L. Cross School","=""1510811""","Grade   4","*"
"Waterbury School District","Wendell L. Cross School","=""1510811""","Grade   5",0.0
"Waterbury School District","Woodrow Wilson BDLC","=""1511211""","Kindergarten","*"
"Waterbury School District","Woodrow Wilson BDLC","=""1511211""","Grade   1","*"
"Waterbury School District","Woodrow Wilson BDLC","=""1511211""","Grade   2","*"
"Waterbury School District","Woodrow Wilson BDLC","=""1511211""","Grade   3","*"
"Waterbury School District","Woodrow Wilson BDLC","=""1511211""","Grade   4","*"
"Waterbury School District","Woodrow Wilson BDLC","=""1511211""","Grade   5","*"
"Waterbury School District","Woodrow Wilson School","=""1513211""","Kindergarten",17.9
"Waterbury School District","Woodrow Wilson School","=""1513211""","Grade   1",9.1
"Waterbury School District","Woodrow Wilson School","=""1513211""","Grade   2","*"
"Waterbury School District","Woodrow Wilson School","=""1513211""","Grade   3",12.8
"Waterbury School District","Woodrow Wilson School","=""1513211""","Grade   4","*"
"Waterbury School District","Woodrow Wilson School","=""1513211""","Grade   5","*"
"Waterbury School District","State Street School","=""1519011""","Grade   2","*"
"Waterbury School District","State Street School","=""1519011""","Grade   3","*"
"Waterbury School District","State Street School","=""1519011""","Grade   4","*"
"Waterbury School District","State Street School","=""1519011""","Grade   5","*"
"Waterbury School District","State Street School","=""1519011""","Grade   6","*"
"Waterbury School District","State Street School","=""1519011""","Grade   7","*"
"Waterbury School District","State Street School","=""1519011""","Grade   8","*"
"Waterbury School District","State Street School","=""1519011""","Grade   9","*"
"Waterbury School District","State Street School","=""1519011""","Grade 10","*"
"Waterbury School District","State Street School","=""1519011""","Grade 11","*"
"Waterbury School District","State Street School","=""1519011""","Grade 12","*"
"Waterbury School District","Enlightenment School","=""1519111""","Grade   6","*"
"Waterbury School District","Enlightenment School","=""1519111""","Grade   7",92.3
"Waterbury School District","Enlightenment School","=""1519111""","Grade   8",96.3
"Waterbury School District","Enlightenment School","=""1519111""","Grade   9",91.3
"Waterbury School District","Enlightenment School","=""1519111""","Grade 10",97.0
"Waterbury School District","Enlightenment School","=""1519111""","Grade 11",100.0
"Waterbury School District","Enlightenment School","=""1519111""","Grade 12","*"
"Waterbury School District","Excel III","=""1513911""","Grade   6","*"
"Waterbury School District","Excel III","=""1513911""","Grade   7","*"
"Waterbury School District","Excel III","=""1513911""","Grade   8","*"
"Waterbury School District","Excel III","=""1513911""","Grade   9","*"
"Waterbury School District","Excel III","=""1513911""","Grade 11","*"
"Waterbury School District","Michael F. Wallace Autism","=""1512911""","Grade   6","*"
"Waterbury School District","Michael F. Wallace Autism","=""1512911""","Grade   7","*"
"Waterbury School District","Michael F. Wallace Autism","=""1512911""","Grade   8","*"
"Waterbury School District","Michael F. Wallace Middle School","=""1515111""","Grade   6",14.8
"Waterbury School District","Michael F. Wallace Middle School","=""1515111""","Grade   7",16.6
"Waterbury School District","Michael F. Wallace Middle School","=""1515111""","Grade   8",14.7
"Waterbury School District","North End Middle School","=""1515311""","Grade   6",17.1
"Waterbury School District","North End Middle School","=""1515311""","Grade   7",17.7
"Waterbury School District","North End Middle School","=""1515311""","Grade   8",23.7
"Waterbury School District","Waterbury Arts Magnet School (Middle)","=""1515011""","Grade   6","*"
"Waterbury School District","Waterbury Arts Magnet School (Middle)","=""1515011""","Grade   7","*"
"Waterbury School District","Waterbury Arts Magnet School (Middle)","=""1515011""","Grade   8",10.3
"Waterbury School District","North End ESC","=""1511811""","Grade   7","*"
"Waterbury School District","North End ESC","=""1511811""","Grade   8","*"
"Waterbury School District","Crosby Autism","=""1514511""","Grade   9","*"
"Waterbury School District","Crosby Autism","=""1514511""","Grade 10","*"
"Waterbury School District","Crosby Autism","=""1514511""","Grade 12","*"
"Waterbury School District","Crosby High School","=""1516211""","Grade   9",34.2
"Waterbury School District","Crosby High School","=""1516211""","Grade 10",34.4
"Waterbury School District","Crosby High School","=""1516211""","Grade 11",34.9
"Waterbury School District","Crosby High School","=""1516211""","Grade 12",25.8
"Waterbury School District","John F. Kennedy High School","=""1516411""","Grade   9",29.2
"Waterbury School District","John F. Kennedy High School","=""1516411""","Grade 10",31.0
"Waterbury School District","John F. Kennedy High School","=""1516411""","Grade 11",31.7
"Waterbury School District","John F. Kennedy High School","=""1516411""","Grade 12",32.0
"Waterbury School District","Waterbury Arts Magnet School (High)","=""1516011""","Grade   9",6.8
"Waterbury School District","Waterbury Arts Magnet School (High)","=""1516011""","Grade 10",15.9
"Waterbury School District","Waterbury Arts Magnet School (High)","=""1516011""","Grade 11",5.2
"Waterbury School District","Waterbury Arts Magnet School (High)","=""1516011""","Grade 12",14.2
"Waterbury School District","Waterbury Career Academy","=""1516711""","Grade   9","*"
"Waterbury School District","Waterbury Career Academy","=""1516711""","Grade 10","*"
"Waterbury School District","Waterbury Career Academy","=""1516711""","Grade 11",8.8
"Waterbury School District","Wilby ESC","=""1511711""","Grade   9","*"
"Waterbury School District","Wilby ESC","=""1511711""","Grade 10","*"
"Waterbury School District","Wilby ESC","=""1511711""","Grade 11","*"
"Waterbury School District","Wilby ESC","=""1511711""","Grade 12","*"
"Waterbury School District","Wilby High School","=""1516311""","Grade   9",38.1
"Waterbury School District","Wilby High School","=""1516311""","Grade 10",37.5
"Waterbury School District","Wilby High School","=""1516311""","Grade 11",28.7
"Waterbury School District","Wilby High School","=""1516311""","Grade 12",32.7
"Waterbury School District","Crosby NVCC (Waterbury Transition Learning Center)","=""1514011""","Grade 12","*"
"Waterford School District","Autism Class","=""1521111""","Kindergarten","*"
"Waterford School District","Autism Class","=""1521111""","Grade   1","*"
"Waterford School District","Autism Class","=""1521111""","Grade   4","*"
