"Chronic Absenteeism, 2013-14"
"State of Connecticut, All Schools, Race/Ethnicity"

"Organization","School","School Code","Race/Ethnicity","% Chronically Absent"
"Waterbury School District","Wendell L. Cross School","=""1510811""","Hispanic/Latino of any race",7.1
"Waterbury School District","Wendell L. Cross School","=""1510811""","Two or More Races","*"
"Waterbury School District","Wendell L. Cross School","=""1510811""","White",0.0
"Waterbury School District","Wilby High School","=""1516311""","American Indian or Alaska Native","*"
"Waterbury School District","Wilby High School","=""1516311""","Asian","*"
"Waterbury School District","Wilby High School","=""1516311""","Black or African American",40.0
"Waterbury School District","Wilby High School","=""1516311""","Hispanic/Latino of any race",45.2
"Waterbury School District","Wilby High School","=""1516311""","Native Hawaiian or Other Pacific Islander","*"
"Waterbury School District","Wilby High School","=""1516311""","Two or More Races",53.8
"Waterbury School District","Wilby High School","=""1516311""","White",47.1
"Waterbury School District","Woodrow Wilson School","=""1513211""","American Indian or Alaska Native","*"
"Waterbury School District","Woodrow Wilson School","=""1513211""","Asian","*"
"Waterbury School District","Woodrow Wilson School","=""1513211""","Black or African American",16.1
"Waterbury School District","Woodrow Wilson School","=""1513211""","Hispanic/Latino of any race",21.4
"Waterbury School District","Woodrow Wilson School","=""1513211""","Two or More Races","*"
"Waterbury School District","Woodrow Wilson School","=""1513211""","White","*"
"Waterbury School District","Bucks Hill School","=""1510511""","Asian","*"
"Waterbury School District","Bucks Hill School","=""1510511""","Black or African American",19.0
"Waterbury School District","Bucks Hill School","=""1510511""","Hispanic/Latino of any race",13.5
"Waterbury School District","Bucks Hill School","=""1510511""","Two or More Races","*"
"Waterbury School District","Bucks Hill School","=""1510511""","White",15.6
"Waterbury School District","Regan School","=""1512811""","Asian","*"
"Waterbury School District","Regan School","=""1512811""","Black or African American","*"
"Waterbury School District","Regan School","=""1512811""","Hispanic/Latino of any race",14.9
"Waterbury School District","Regan School","=""1512811""","Two or More Races","*"
"Waterbury School District","Regan School","=""1512811""","White","*"
"Waterbury School District","Rotella Interdistrict Magnet School","=""1513311""","Asian","*"
"Waterbury School District","Rotella Interdistrict Magnet School","=""1513311""","Black or African American","*"
"Waterbury School District","Rotella Interdistrict Magnet School","=""1513311""","Hispanic/Latino of any race",5.6
"Waterbury School District","Rotella Interdistrict Magnet School","=""1513311""","Two or More Races","*"
"Waterbury School District","Rotella Interdistrict Magnet School","=""1513311""","White","*"
"Waterbury School District","Walsh School","=""1512211""","Asian","*"
"Waterbury School District","Walsh School","=""1512211""","Black or African American",21.7
"Waterbury School District","Walsh School","=""1512211""","Hispanic/Latino of any race",24.4
"Waterbury School District","Walsh School","=""1512211""","Two or More Races","*"
"Waterbury School District","Walsh School","=""1512211""","White","*"
"Waterbury School District","Waterbury Arts Magnet School (High)","=""1516011""","Asian","*"
"Waterbury School District","Waterbury Arts Magnet School (High)","=""1516011""","Black or African American",11.0
"Waterbury School District","Waterbury Arts Magnet School (High)","=""1516011""","Hispanic/Latino of any race",14.2
"Waterbury School District","Waterbury Arts Magnet School (High)","=""1516011""","Native Hawaiian or Other Pacific Islander","*"
"Waterbury School District","Waterbury Arts Magnet School (High)","=""1516011""","Two or More Races","*"
"Waterbury School District","Waterbury Arts Magnet School (High)","=""1516011""","White",17.1
"Waterbury School District","Enlightenment School","=""1519111""","Black or African American",94.0
"Waterbury School District","Enlightenment School","=""1519111""","Hispanic/Latino of any race",90.8
"Waterbury School District","Enlightenment School","=""1519111""","Two or More Races","*"
"Waterbury School District","Enlightenment School","=""1519111""","White","*"
"Waterbury School District","State Street School","=""1519011""","Black or African American","*"
"Waterbury School District","State Street School","=""1519011""","Hispanic/Latino of any race",82.6
"Waterbury School District","State Street School","=""1519011""","White","*"
"Waterford School District","Clark Lane Middle School","=""1525111""","American Indian or Alaska Native","*"
"Waterford School District","Clark Lane Middle School","=""1525111""","Asian","*"
"Waterford School District","Clark Lane Middle School","=""1525111""","Black or African American","*"
"Waterford School District","Clark Lane Middle School","=""1525111""","Hispanic/Latino of any race","*"
"Waterford School District","Clark Lane Middle School","=""1525111""","Two or More Races","*"
"Waterford School District","Clark Lane Middle School","=""1525111""","White",7.4
"Waterford School District","Oswegatchie Elementary School","=""1520611""","American Indian or Alaska Native","*"
"Waterford School District","Oswegatchie Elementary School","=""1520611""","Asian",0.0
"Waterford School District","Oswegatchie Elementary School","=""1520611""","Black or African American","*"
"Waterford School District","Oswegatchie Elementary School","=""1520611""","Hispanic/Latino of any race","*"
"Waterford School District","Oswegatchie Elementary School","=""1520611""","Two or More Races","*"
"Waterford School District","Oswegatchie Elementary School","=""1520611""","White",3.5
"Waterford School District","Quaker Hill Elementary School","=""1520711""","American Indian or Alaska Native","*"
"Waterford School District","Quaker Hill Elementary School","=""1520711""","Asian","*"
"Waterford School District","Quaker Hill Elementary School","=""1520711""","Black or African American","*"
"Waterford School District","Quaker Hill Elementary School","=""1520711""","Hispanic/Latino of any race","*"
"Waterford School District","Quaker Hill Elementary School","=""1520711""","Two or More Races","*"
"Waterford School District","Quaker Hill Elementary School","=""1520711""","White",5.5
"Waterford School District","Waterford High School","=""1526111""","American Indian or Alaska Native","*"
"Waterford School District","Waterford High School","=""1526111""","Asian",0.0
"Waterford School District","Waterford High School","=""1526111""","Black or African American","*"
"Waterford School District","Waterford High School","=""1526111""","Hispanic/Latino of any race","*"
"Waterford School District","Waterford High School","=""1526111""","Native Hawaiian or Other Pacific Islander","*"
"Waterford School District","Waterford High School","=""1526111""","Two or More Races","*"
"Waterford School District","Waterford High School","=""1526111""","White",7.2
"Waterford School District","Great Neck Elementary School","=""1520211""","Asian","*"
"Waterford School District","Great Neck Elementary School","=""1520211""","Black or African American","*"
"Waterford School District","Great Neck Elementary School","=""1520211""","Hispanic/Latino of any race","*"
"Waterford School District","Great Neck Elementary School","=""1520211""","Two or More Races","*"
"Waterford School District","Great Neck Elementary School","=""1520211""","White",3.0
"Watertown School District","Fletcher W. Judson School","=""1530311""","American Indian or Alaska Native","*"
"Watertown School District","Fletcher W. Judson School","=""1530311""","Asian","*"
"Watertown School District","Fletcher W. Judson School","=""1530311""","Black or African American","*"
"Watertown School District","Fletcher W. Judson School","=""1530311""","Hispanic/Latino of any race","*"
"Watertown School District","Fletcher W. Judson School","=""1530311""","Two or More Races","*"
"Watertown School District","Fletcher W. Judson School","=""1530311""","White","*"
"Watertown School District","Swift Middle School","=""1535111""","American Indian or Alaska Native","*"
"Watertown School District","Swift Middle School","=""1535111""","Asian","*"
"Watertown School District","Swift Middle School","=""1535111""","Black or African American","*"
"Watertown School District","Swift Middle School","=""1535111""","Hispanic/Latino of any race",12.3
