"Chronic Absenteeism, 2011-12"
", All Schools, Special Education Status"

"District","District Code","School","School Code","Special Education Status","% Chronically Absent"
"West Hartford School District","=""1550011""","Hall High School","=""1556211""","Special Education",11.8
"West Hartford School District","=""1550011""","King Philip Middle School","=""1555111""","Non-Special Education",4.6
"West Hartford School District","=""1550011""","King Philip Middle School","=""1555111""","Special Education",16.1
"West Hartford School District","=""1550011""","Morley School","=""1550911""","Non-Special Education","*"
"West Hartford School District","=""1550011""","Morley School","=""1550911""","Special Education","*"
"West Hartford School District","=""1550011""","Norfeldt School","=""1551011""","Non-Special Education","*"
"West Hartford School District","=""1550011""","Norfeldt School","=""1551011""","Special Education","*"
"West Hartford School District","=""1550011""","STRIVE-West Hartford","=""1559211""","Special Education","*"
"West Hartford School District","=""1550011""","Sedgwick Middle School","=""1555211""","Non-Special Education",5.7
"West Hartford School District","=""1550011""","Sedgwick Middle School","=""1555211""","Special Education",15.5
"West Hartford School District","=""1550011""","WAAVE (W Hartford Applied Academic/Voc'l Experience)","=""1559011""","Special Education","*"
"West Hartford School District","=""1550011""","Webster Hill School","=""1551211""","Non-Special Education","*"
"West Hartford School District","=""1550011""","Webster Hill School","=""1551211""","Special Education","*"
"West Hartford School District","=""1550011""","Whiting Lane School","=""1551311""","Non-Special Education",4.4
"West Hartford School District","=""1550011""","Whiting Lane School","=""1551311""","Special Education",10.9
"West Hartford School District","=""1550011""","Wolcott School","=""1551511""","Non-Special Education","*"
"West Hartford School District","=""1550011""","Wolcott School","=""1551511""","Special Education","*"
"West Haven School District","=""1560011""","Washington School","=""1561211""","Non-Special Education",8.7
"West Haven School District","=""1560011""","Washington School","=""1561211""","Special Education","*"
"West Haven School District","=""1560011""","Alma E. Pagels School","=""1560811""","Non-Special Education",5.6
"West Haven School District","=""1560011""","Alma E. Pagels School","=""1560811""","Special Education",12.1
"West Haven School District","=""1560011""","Carrigan 5/6 Intermediate School","=""1565311""","Non-Special Education",11.6
"West Haven School District","=""1560011""","Carrigan 5/6 Intermediate School","=""1565311""","Special Education",22.4
"West Haven School District","=""1560011""","Edith E. Mackrille School","=""1560611""","Non-Special Education","*"
"West Haven School District","=""1560011""","Edith E. Mackrille School","=""1560611""","Special Education","*"
"West Haven School District","=""1560011""","Forest School","=""1560311""","Non-Special Education","*"
"West Haven School District","=""1560011""","Forest School","=""1560311""","Special Education","*"
"West Haven School District","=""1560011""","Harry M. Bailey Middle School","=""1565111""","Non-Special Education",22.4
"West Haven School District","=""1560011""","Harry M. Bailey Middle School","=""1565111""","Special Education",31.3
"West Haven School District","=""1560011""","Savin Rock Community School","=""1561411""","Non-Special Education",12.4
"West Haven School District","=""1560011""","Savin Rock Community School","=""1561411""","Special Education",11.1
"West Haven School District","=""1560011""","Seth G. Haley School","=""1560411""","Non-Special Education","*"
"West Haven School District","=""1560011""","Seth G. Haley School","=""1560411""","Special Education","*"
"West Haven School District","=""1560011""","West Haven High School","=""1566111""","Non-Special Education",18.9
"West Haven School District","=""1560011""","West Haven High School","=""1566111""","Special Education",25.7
"Westbrook School District","=""1540011""","Daisy Ingraham School","=""1540211""","Non-Special Education","*"
"Westbrook School District","=""1540011""","Daisy Ingraham School","=""1540211""","Special Education","*"
"Westbrook School District","=""1540011""","Westbrook High School","=""1546111""","Non-Special Education","*"
"Westbrook School District","=""1540011""","Westbrook High School","=""1546111""","Special Education","*"
"Westbrook School District","=""1540011""","Westbrook Middle School","=""1545111""","Non-Special Education","*"
"Westbrook School District","=""1540011""","Westbrook Middle School","=""1545111""","Special Education","*"
"Weston School District","=""1570011""","Hurlbutt Elementary School","=""1570111""","Non-Special Education","*"
"Weston School District","=""1570011""","Hurlbutt Elementary School","=""1570111""","Special Education","*"
"Weston School District","=""1570011""","Weston High School","=""1576111""","Non-Special Education","*"
"Weston School District","=""1570011""","Weston High School","=""1576111""","Special Education","*"
"Weston School District","=""1570011""","Weston Intermediate School","=""1570211""","Non-Special Education","*"
"Weston School District","=""1570011""","Weston Intermediate School","=""1570211""","Special Education","*"
"Weston School District","=""1570011""","Weston Middle School","=""1575111""","Non-Special Education",9.9
"Weston School District","=""1570011""","Weston Middle School","=""1575111""","Special Education",14.3
"Westport School District","=""1580011""","Bedford Middle School","=""1585111""","Non-Special Education",2.8
"Westport School District","=""1580011""","Bedford Middle School","=""1585111""","Special Education",6.7
"Westport School District","=""1580011""","Coleytown Elementary School","=""1580311""","Non-Special Education","*"
"Westport School District","=""1580011""","Coleytown Elementary School","=""1580311""","Special Education","*"
"Westport School District","=""1580011""","Coleytown Middle School","=""1585311""","Non-Special Education",2.9
"Westport School District","=""1580011""","Coleytown Middle School","=""1585311""","Special Education",0.0
"Westport School District","=""1580011""","Green's Farms School","=""1580411""","Non-Special Education","*"
"Westport School District","=""1580011""","Green's Farms School","=""1580411""","Special Education","*"
"Westport School District","=""1580011""","King's Highway Elementary School","=""1580511""","Non-Special Education","*"
"Westport School District","=""1580011""","King's Highway Elementary School","=""1580511""","Special Education","*"
"Westport School District","=""1580011""","Long Lots School","=""1580711""","Non-Special Education","*"
"Westport School District","=""1580011""","Long Lots School","=""1580711""","Special Education","*"
"Westport School District","=""1580011""","Saugatuck Elementary School","=""1580811""","Non-Special Education","*"
"Westport School District","=""1580011""","Saugatuck Elementary School","=""1580811""","Special Education",0.0
"Westport School District","=""1580011""","Staples High School","=""1586111""","Non-Special Education",1.6
"Westport School District","=""1580011""","Staples High School","=""1586111""","Special Education",4.2
"Wethersfield School District","=""1590011""","Alfred W. Hanmer School","=""1590811""","Non-Special Education","*"
"Wethersfield School District","=""1590011""","Alfred W. Hanmer School","=""1590811""","Special Education","*"
"Wethersfield School District","=""1590011""","Charles Wright School","=""1591011""","Non-Special Education","*"
"Wethersfield School District","=""1590011""","Charles Wright School","=""1591011""","Special Education","*"
"Wethersfield School District","=""1590011""","Emerson-Williams School","=""1590211""","Non-Special Education","*"
"Wethersfield School District","=""1590011""","Emerson-Williams School","=""1590211""","Special Education",0.0
"Wethersfield School District","=""1590011""","Highcrest School","=""1591111""","Non-Special Education","*"
"Wethersfield School District","=""1590011""","Highcrest School","=""1591111""","Special Education","*"
"Wethersfield School District","=""1590011""","Samuel B. Webb Elementary School","=""1591211""","Non-Special Education","*"
"Wethersfield School District","=""1590011""","Samuel B. Webb Elementary School","=""1591211""","Special Education","*"
